Name,website,univ--address
Prof. Dr. Eva Lavric,##NA##,Leopold-Franzens-Universität Innsbruck --   Innsbruck Österreich 
Bastienne Schulz, ##NA##,"	SciencesPo Paris, Campus Nancy --  Deutschland "
Dr. Marco Thomas Bosshard,##NA##,Ruhr-Universität Bochum --  Deutschland 
Dr. Klaus Hockenjos,##NA##,##NA## -- ##NA##
Marie Schröer,##NA##,##NA## -- ##NA##
PD Dr. Anita Traninger,http://www.geisteswissenschaften.fu-berlin.de/we05/institut/mitarbeiter/traninger/index.html,Freie Universität Berlin --  Habelschwerdter Allee 45 Berlin Berlin Deutschland 
Apl. Prof. Jalouneix Catherine,##NA##,Université Paris-Sorbonne --  Frankreich 
Judith Kittler,http://homepage.ruhr-uni-bochum.de/gerald.bernhard/Mitarbeiter.html,Ruhr-Universität Bochum --   Bochum Deutschland 
Nathalie Crombée,##NA##,##NA## -- ##NA##
Dr. Dagmar Schmelzer,##NA##,Universität Regensburg --   Regensburg Deutschland 
Julia Burkhardt,http://www.uni-leipzig.de/~roman/index.php?option=com_content&task=view&id=80&Itemid=104,Universität Leipzig --   Leipzig Deutschland 
Dr. Florence Oloff,http://unibas.academia.edu/FlorenceOloff,Universität Basel --  Maiengasse 51 4056 Basel Schweiz 
PD Dr. Lars Schneider,##NA##,Ludwig-Maximilians-Universität München --  Ludwigstr. 25 80539 München Deutschland 
Prof. Dr. Harm den Boer,https://unibas.academia.edu/HarmDenBoer,Universität Basel --  Maiengasse  51 CH-4056 Basel Schweiz 
Spanische ArbeitsmigrantInnen in Niedersachsen,http://www.uni-hildesheim.de/index.php?id=4290&typo3state=persons&lsfid=3121,Universität Hildesheim --  Marienburger Platz 22 31141 Hildesheim Deutschland 
Dr. Susannah  Ellis,##NA##,Ecole Normale Supérieure --  rue d'Ulm 45 75005 Paris Europäische Union 
Dr. Karin Hilpold,##NA##,##NA## -- ##NA##
Susanne Zieglmeier,##NA##,##NA## --  Deutschland 
Dr. Isabelle Baugé,##NA##,##NA## -- ##NA##
Noémie Chardonnens,##NA##,Universität Lausanne / Paris III --  Schweiz 
Jannie Wullms,##NA##,##NA## -- ##NA##
