id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom0327;2013-03-21;kaST;beWS;spÜG;dzLW;Akademische/-r Mitarbeiterin/Mitarbeiter (50 %) in der Abteilung Kultur- und Medienbildung im Wahlpflichtbereich Theater/Literatur
rom1747;2013-03-21;kaWI;beAM;spES;dzLW dzSW dzMK;Hispanex- ProSpanien - Programm zur Förderung von Projekten
rom1813;2013-03-21;kaWI;beSTU;spÜG;dzLW dzSW dzMK;International PhD Programme Literary and Cultural Studies
rom3135;2013-03-21;kaTA;beTP;spÜG;dzMK;TV GLOKAL. EUROPÄISCHE FERNSEHSERIEN IM KONTEXT. Dritte romanistische TV-Tagung
rom2543;2013-03-24;kaTA;beTA;spES;dzLW;No te pienso pagar con versos vanos. Góngora y Lope entre su tiempo y el nuestro (1613-2013) (dirs. Natalia Fernández y Bénédicte Vauthier)
rom0922;2013-03-25;kaTA;beTA;spES;dzLW dzSW dzDK;CfP: Jornadas Hispánicas 2014: Spanischunterricht weiterentwickeln – Perspektiven eröffnen
rom1745;2013-03-25;kaWI;beAM;spFR;dzLW dzSW dzMK dzDK dzWT;Hinweis auf veränderte Sammel- und Berichtspolitik der Bibliothèque nationale de France und der Bibliographie de la Littérature Française
rom2102;2013-03-25;kaST;beNW;spFR;dzSP;Lehrbeauftragte für Französisch
rom1214;2013-03-26;kaTA;beTA;spÜG;dzSW;CfP: Trends in Toponymy 6
rom1232;2013-03-27;kaTA;beTA;spÜG;dzLW dzMK;CfP: Versteckt - verirrt - verschollen. Reisen und Nichtwissen
rom2472;2013-03-28;kaTA;beTP;spES;dzLW;Nach Graciáns Künsten - Workshop
rom0086;2013-03-28;kaST;beWS;spÜG;dzLW dzMK;15 PhD memberships: Literary and Cultural Studies (IPP)
rom0367;2013-03-28;kaST;bePR;spÜG;dzLW dzSW dzMK dzDK;Alexander von Humboldt-Professur
rom2177;2013-03-28;kaST;beNW;spFR spES;dzSP;Lehrkraft für besondere Aufgaben Englisch sowie Spanisch oder Französisch
rom0277;2013-04-02;kaST;beWS;spÜG;dzLW dzSW dzMK dzWT;8 Postdoc-Stellen an der Graduiertenschule für Geisteswissenschaften Göttingen (GSGG)
rom1890;2013-04-03;kaST;beWS;spFR spIT spES;dzDK;Juniorprofessur für Didaktik der modernen Fremdsprachen (W1 ohne Tenure Track)
rom1955;2013-04-03;kaTA;beTA;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK dzDK dzWT;Kulturen & Technologien - Europäische Sommeruniversität in Digitalen Geisteswissenschaften
rom3471;2013-04-03;kaST;beWS;spES;dzSW;Wiss. Mitarbeiter/-in (Hist. Sprachwiss. Iberoromanistik 13 TV-L 65%)
rom3255;2013-04-04;kaTA;beTP;spFR;dzLW dzSW;VI. Forschungstag Frankreich und Frankophonie
rom2500;2013-04-04;kaST;beSTI;spÜG;dzLW dzSW dzMK dzDK;: Nachwuchsinitiative: 10 Stipendien für den Übergang in die Postdoc-Phase
rom2901;2013-04-05;kaTA;beTP;spIT;dzLW;Semiotik Pragmatik und Ästhetik an der Schnittstelle von Musik und Dichtung
rom0833;2013-04-08;kaTA;beTA;spÜG;dzLW dzMK;CfP: Forms of Renaissance Conflict and Rivalries
rom0519;2013-04-08;kaTA;beSV;spPT spES;dzLW dzMK dzWT;Ausstellung „America Romana: Entdeckung(en) der Neuen Welt“
rom2396;2013-04-08;kaST;beSTI;spIT;dzLW dzSW;MA bursaries in Italian Studies
rom2844;2013-04-08;kaTA;beSV;spPT spES;dzLW dzSW dzMK;Ringvorlesung America Romana
rom1176;2013-04-08;kaTA;beTA;spPT;dzSW;CfP: Sprache(n) zwischen Exil und Rückkehr / Língua(s) entre emigração e regresso
rom1075;2013-04-09;kaTA;beTA;spPT;dzLW dzMK;CfP: Roadmovies auf afrikanisch portugiesisch und brasilianisch – Migration und Memoria im portugiesischsprachigen Film/Migração e Memória em Filmes de Língua Portuguesa – O Road Movie africano português e brasileiro
rom2506;2013-04-11;kaTA;beSV;spÜG;dzLW;Narratologisches Kolloquium Historische Narratologie
rom0251;2013-04-11;kaST;beWS;spÜG;dzLW dzMK;6 - 8 Promotionsstellen: Internationale Doktorandenkolleg (IDK) MIMESIS für Literatur- und Kunstwissenschaften
rom0289;2013-04-11;kaST;beWS;spÜG;dzLW dzMK;8 wissenschaftliche Mitarbeiter(innen)/Postdocs:  Graduiertenschule für Geisteswissenschaften Göttingen (GSGG)
rom3702;2013-04-11;kaTA;beTA;spFR spIT spPT spES spÜG;dzMK dzDK;XI. Mediendidaktisches Kolloquium - Web 2.0 und komplexe Kompetenzaufgaben im Fremdsprachenunterricht (ACHTUNG VERÄNDERTES DATUM!!)
rom1097;2013-04-11;kaTA;beTA;spPT;dzSW;Cfp: Sektion 13: Kommunikative Grammatik und Portugiesisch als Fremd- und Zweitsprache in einer mehrsprachigen Welt (X. Lusitanistentag Hamburg)
rom3639;2013-04-12;kaST;beWS;spES;dzLW dzMK;Wissenschaftliche/r Mitarbeiter/in im Projekt „Argentinische Populärkultur“
rom1385;2013-04-12;kaTA;beSV;spFR spÜG;dzLW dzSW dzMK dzDK;Deutsch-französischer Schreibworkshop für Doktoranden
rom3151;2013-04-12;kaST;beNW;spFR spÜG;dzWT;UniGR Projektreferent/in
rom1544;2013-04-13;kaTA;beTP;spIT;dzLW;Erzählte Lebenskunst - 700 Jahre Boccaccio
rom0396;2013-04-15;kaTA;beTA;spFR;dzLW;Appel à contribution Prosper Mérimée
rom0513;2013-04-15;kaWI;beSTU;spFR spIT spES spÜG;dzLW;Ausschreibung: Promotion an der Graduate School Practices of Literature
rom2586;2013-04-15;kaST;beSTI;spIT;dzLW dzMK;PhD fellowship Italian Studies
